DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2010-03-23,24.0,3422.510182813226,223.3549265,48.26827458333333,759.105257399217,192.454799,274.1868969856737,17384.218823021998,13820479.576654691,17263.32866329,24.0,41520.546815771646,24.0,42199.91771716253
2010-03-24,24.0,3435.0849033302934,223.378091375,47.668794166666665,765.1229275379887,190.217151875,280.9928744250513,17128.978308874,13593326.45848873,16125.376129538,24.0,56392.72619285981,24.0,46679.03776247656
2010-03-25,24.0,3441.6261838762016,223.399856375,47.665281875,765.5429961082907,190.108502,280.49552189173204,17048.84612183,13523113.4849664,16560.568124952002,24.0,56743.43716721399,24.0,46528.82755759588
2010-03-26,24.0,3459.11055873259,223.412021375,46.88428020833334,776.72850891136,188.27950325,292.01518653505565,16403.700248588,13007605.518619468,16652.839646454002,24.0,55456.57336226548,24.0,47853.464586855545
2010-03-27,24.0,3468.809458894116,223.42260125,46.515119166666665,781.5793474263023,190.935653375,296.6810958908088,15966.810004312,12690987.98951462,16014.109380024,24.0,54812.79220626427,24.0,48777.79820945424
2010-03-28,23.0,3477.631860844244,223.4437777727273,45.70987456521739,784.503758445694,192.6415383636364,299.3997214341641,14921.066093956002,11825872.944998296,15447.963527918002,23.0,49895.04397432162,23.0,50708.87274207758
2010-03-29,24.0,3487.3079406362203,223.45836725,46.67963354166667,788.8225562349786,193.9267325,303.59851670212214,14972.831235194,11886612.052879252,15700.62521972,24.0,52626.80286935864,24.0,51696.29556702965
2010-03-30,24.0,3512.480744832652,223.44783575,45.17448104166667,808.5429960278303,190.2193265,324.42888195797525,16072.66751671,12853369.771153368,16082.794111776,24.0,52979.60485324585,24.0,51010.92167564364
2010-03-31,24.0,3518.993057112013,223.4572554468085,44.145559375,809.1063895921706,189.3509044680851,324.13843430845344,15913.598206636,12720204.872733312,17399.754655204,24.0,53364.14620420357,24.0,50889.352677619616
2010-04-01,0.0,3570.065644246392,218.93745705923936,0.0,805.3025069029281,188.72033740544157,278.7325665674765,0.0,0.0,0.0,12.00001,15655.3385834,12.00001,9717.757377
2010-04-02,9.14166,3621.138231380771,222.64024395882805,35.25644714285714,785.337404230849,188.08977034279803,334.9271993846958,5064.429698907999,4129940.7976112543,5142.54914656,24.0,50847.86157640148,24.0,48712.09936217612
2010-04-03,23.33334,3566.7410403379376,223.43032510260252,42.41543,839.6562493880675,187.4592032801545,356.4229261594991,14651.48481164,11579119.127361909,15465.008914644,22.66667,48834.509266976864,22.66667,48547.69756375134
2010-04-04,24.0,3533.7869879717414,223.531851125,45.92970354166667,805.2652730786706,191.5149815,322.17537925513705,16667.243312728002,13164569.3240898,17689.274637122,24.0,51202.28966633348,24.0,53522.07826672676
2010-04-05,24.0,3548.5003893276157,223.5522636595745,44.419586458333335,814.7757543033059,192.72668459574467,333.0060508675014,16304.509935426,12930189.059379283,16946.196412838,24.0,51104.711125,24.0,53551.4474484
2010-04-06,24.0,3563.3754298421486,223.556235125,44.62283583333333,825.7045259442896,189.710533625,344.4233071027677,16164.750343893998,12858869.324201904,16511.759194696,24.0,52026.702766760456,24.0,52385.31554630729
2010-04-07,24.0,3568.654153857148,223.572068,44.61910875,827.6097023896035,193.70877125,345.2600026187138,16147.390466638,12867716.001362303,17813.812887002,24.0,50388.36824909766,24.0,54375.851335564825
2010-04-08,24.0,3584.409551968555,223.579202375,43.979726041666666,838.8374816068216,195.17091425,357.2970954355915,16602.961448396,13270766.53041466,16727.12230964,24.0,50594.58019280351,24.0,54415.07138142151
2010-04-09,24.0,3600.150255944132,223.557153875,43.052640833333335,854.0845133816807,195.44565125,373.7884754620021,16316.523473672,12876513.591135962,15467.776431308,24.0,33676.98005136694,24.0,35196.63810813841
2010-04-10,24.0,3589.5627730158903,223.5135485,42.748487708333336,852.1432285828439,195.110070125,372.60681070784256,16195.570415834,12708761.508128878,15583.320252030002,22.94167,24686.85864343282,24.0,29278.36950048952
2010-04-11,24.0,3579.608881402863,223.48712,42.691670625,847.3807845259737,194.45931575,368.47664356168553,16030.714480008,12583391.26294759,15105.294646430002,20.725,28900.36114474899,21.0,26329.1471716
2010-04-12,24.0,3549.8202814107767,223.48080275,43.89416229166667,824.4709497664041,194.95167725,344.0997218660506,16289.854676728,12803121.94446203,15397.204756376,24.0,41884.16012840394,10.5,13957.0897214
2010-04-13,24.0,3527.9209578096684,223.441988375,44.26394895833333,815.4019756955885,194.75704475,335.1356070581893,16240.039376776,12807048.229108123,15583.823436878,24.0,51721.10424159435,0.0,0.0
2010-04-14,24.0,3513.753952572445,223.416084875,44.28605354166667,811.1135512259366,194.654376875,330.99118391103474,15544.260528204,12146672.790082969,12921.032119368,24.0,54480.918698368456,0.0,0.0
2010-04-15,24.0,3502.902872620248,223.396262,44.166538125,809.6856093710335,194.563064375,329.78616203781803,15339.652989386,12032641.378092617,16260.607057438,24.0,53988.59264490717,0.0,0.0
2010-04-16,24.0,3485.0326188186714,223.389703625,44.61248770833333,800.7303599949074,193.841165,320.5739027683365,15273.735774298,11976588.526485598,16077.573568978,24.0,54246.4715197,0.0,0.0
2010-04-17,23.33333,3499.50319473976,223.34630562698595,42.21623541666666,820.7600585836509,191.2279868458681,341.2966461929868,14321.521347564,11234833.26317411,16166.322796543998,22.16667,52816.25418938906,0.0,0.0
2010-04-18,24.0,3452.848046762357,223.375505375,45.676420625,787.0798552940396,193.488077,305.5550455715467,15861.895963504,12398028.815086504,16133.112596576,24.0,51441.50007270613,0.0,0.0
2010-04-19,24.0,3435.298516723792,223.3696475,46.197078958333336,779.1273243195766,192.986532875,297.87813162357685,15645.27488644,12488925.23576094,16944.309469657997,17.66667,37914.9782968,0.0,0.0
2010-04-20,24.0,3412.6240056941274,223.353411125,46.983061875,765.8157939637515,191.675579,284.1806769982706,14751.367003968002,11510041.167228004,11468.651953722,19.83333,42575.7279514,0.0,0.0
2010-04-21,24.0,3397.6823871360616,223.343065625,47.15139229166667,760.6545263435767,193.085743625,279.24254087315006,17152.439302412,13379857.420530677,15289.523198904,24.0,50139.522624698,0.0,0.0
2010-04-22,24.0,3393.71673810909,223.30291625,46.1631425,765.9162990729465,192.560399375,285.4641612661257,16825.180456894,13166915.983693443,14357.687758514,4.60833,9283.7604456,0.0,0.0
2010-04-23,24.0,3388.3389593622765,223.31738525,46.16864145833333,761.8369918269148,192.94635875,281.84066532795447,16559.624653362,13315490.083790757,14164.779267412,23.225,53236.9569184,23.225,49620.3158234
2010-04-24,24.0,3366.5555813462206,223.405130375,52.598152291666665,722.436459926951,192.210192875,237.22738345406492,16706.177240342,13393096.18279123,14842.317665243998,24.0,56312.4689172075,24.0,49344.80223152511
2010-04-25,24.0,3355.237836428769,223.523099375,58.578608125,695.1787322035302,191.74063925,201.67860667568905,17538.885265676,13584750.644822083,16406.34196904,24.0,55986.74164319136,24.0,49704.44731706402
2010-04-26,24.0,3458.685957732976,223.423949375,49.44662041666667,788.8383864997573,191.700801125,299.64628366591523,14058.858856907998,11276487.61886544,13097.209714274,24.0,56823.379071762814,24.0,52861.18589982124
2010-04-27,24.0,3366.633950070653,223.62023075,61.31323104166667,680.1527016819485,194.538965375,189.69374557420863,19594.33247165,15614146.460959151,17588.952158052,24.0,54565.4098145743,24.0,58775.673859563736
