DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
28-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.268,101.027,210.144,22.29,100,%,32.124,88.331,3.197,944,"150,922","3,372",,production,OP
01-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.454,101.022,210.289,22.221,100,%,32.165,88.198,3.235,936,"151,346","3,412",,production,OP
02-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.26,101.004,210.149,22.107,100,%,32.111,88.04,3.182,940,"151,580","3,374",,production,OP
03-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.472,101.001,210.338,22.142,100,%,32.134,87.9,3.199,937,"151,079","3,386",,production,OP
04-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.573,101.004,210.483,22.144,100,%,32.091,87.419,3.152,940,"151,102","3,383",,production,OP
05-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.832,100.994,210.711,22.145,100,%,32.12,87.844,3.174,941,"151,795","3,292",,production,OP
06-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.961,100.985,210.727,22.041,100,%,32.234,87.21,3.217,926,"151,062","3,241",,production,OP
07-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,2.19,249.733,100.967,211.77,21.946,9.23416,%,37.963,86.455,9.919,43,"7,643",146,,production,OP
10-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,10.98,259.16,100.772,217.926,15.394,20.50801,%,41.234,72.669,12.589,187,"32,262","1,046",,production,OP
11-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,15.19,243.204,101.02,210.201,21.15,55.351,%,33.002,86.754,4.512,512,"86,099","2,666",,production,OP
13-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,19.98,251.075,100.928,213.862,18.832,49.60005,%,37.213,81.106,8.684,540,"92,381","1,925",,production,OP
14-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,15.69,243.694,100.993,210.404,22.208,63.65894,%,33.29,87.659,4.498,537,"72,956","2,085",,production,OP
15-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,16.81,250.76,100.887,213.457,19.698,39.82264,%,37.303,81.026,8.748,504,"87,862","2,185",,production,OP
16-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,12.03,242.8,101.046,209.064,22.166,48.37608,%,33.736,85.162,5.493,446,"69,150","1,768",,production,OP
17-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,10.48,255.387,100.84,215.103,17.471,20.30279,%,40.284,73.888,12.092,294,"49,992","1,249",,production,OP
